What do FRN investors primarily worry about?,Changes in the issuer’s credit risk reflected in the discount margin.  [oai_citation:13‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the role of the reference rate in FRNs?,It sets the floating part of the coupon each reset period.  [oai_citation:14‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the holding period yield (HPY)?,The return earned over the actual days the investor holds the instrument.  [oai_citation:15‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is an add-on yield?,A money-market yield quoted as interest paid on the invested amount, annualized.  [oai_citation:16‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
For add-on yields, how is quoted rate defined?,Quoted add-on yield = HPY × (year basis / days).  [oai_citation:17‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What year conventions are used for add-on yields?,Either 365-day year or 360-day year depending on the instrument.  [oai_citation:18‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you compute HPY from a 365-day add-on yield?,HPY = quoted yield × days / 365.  [oai_citation:19‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you compute HPY from a 360-day add-on yield?,HPY = quoted yield × days / 360.  [oai_citation:20‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is a discount yield?,A T-bill style quote based on the annualized discount from face value using a 360-day year.  [oai_citation:21‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How is the quoted discount yield computed?,Quoted discount yield = discount × 360 / days.  [oai_citation:22‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you compute actual discount?,Actual discount = (face value − price) ÷ face value.  [oai_citation:23‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why is HPY different from the discount yield?,Discount yield is based on face value, while HPY is based on the actual price paid.  [oai_citation:24‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is bond-equivalent yield (BEY)?,An add-on yield annualized on a 365-day basis so it can be compared with bond YTMs.  [oai_citation:25‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why is BEY used?,To standardize different yield quoting conventions into one comparable format.  [oai_citation:26‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you convert a 365-day add-on yield to BEY?,No conversion needed—the yield already equals BEY.  [oai_citation:27‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you convert a 360-day add-on yield to BEY?,BEY = add-on × 365 / 360.  [oai_citation:28‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you compute BEY from a discount yield?,Recover price → compute HPY → annualize HPY on 365-day basis.  [oai_citation:29‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What type of instruments use discount yields?,Treasury bills and other pure-discount securities.  [oai_citation:30‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What type of instruments use add-on yields?,Bank CDs, commercial paper, and most short-term deposits.  [oai_citation:31‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why can discount yields be misleading?,They understate the true return because they are based on face value, not actual price.  [oai_citation:32‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What does a higher discount margin imply?,Higher required compensation for credit and liquidity risk.  [oai_citation:33‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why does an FRN priced at par imply QM = DM?,Because the coupon payments exactly match the required yield at that margin.  [oai_citation:34‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why does an FRN priced at a discount imply QM < DM?,Market now demands a higher spread than the bond pays.  [oai_citation:35‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why does an FRN priced at a premium imply QM > DM?,The bond pays more spread than the market currently requires.  [oai_citation:36‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How is FRN price sensitivity compared to fixed-rate bonds?,Much lower because coupons reset frequently.  [oai_citation:37‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What causes FRN price volatility?,Changes in the discount margin (credit risk), not changes in the reference rate.  [oai_citation:38‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why is the reference rate reset crucial?,It keeps coupon payments aligned with current market conditions.  [oai_citation:39‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the usual maturity range for money-market instruments?,Less than one year.  [oai_citation:40‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How does HPY relate to BEY?,BEY is the annualized version of HPY on a 365-day basis.  [oai_citation:41‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
How do you compute T-bill price from discount yield?,Price = face × (1 − actual discount).  [oai_citation:42‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
If you know HPY and days to maturity, how do you compute an add-on quoted yield?,Quoted yield = HPY × (year basis / days).  [oai_citation:43‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What happens to discount yield when days increase?,For the same HPY, discount yield decreases because it's annualized over more days.  [oai_citation:44‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why are 360-day conventions used?,Historical banking practice for money-market calculations.  [oai_citation:45‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
Why are 365-day conventions used?,To align yields with standard bond-equivalent quoting formats.  [oai_citation:46‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
What is the purpose of standardizing yields?,To allow fair comparison across instruments with different quoting norms.  [oai_citation:47‡54 Yield Measures for Floating Rate Notes.pdf](sediment://file_00000000c8a471f4b89f7519d8c27c90)
